1000,2000,1,1,1,1000,1,1,1000
1000,2000,12,1,12,1001,1,12,1001
1000,2000,4,1,4,1002,1,4,1002
2000,3000,1,2,1,2000,2,1,2000
2000,3000,11,2,11,2001,2,11,2001
2000,3000,16,2,16,2002,2,16,2002
3000,4000,1,3,1,3000,3,1,3000
3000,4000,11,3,11,3001,3,11,3001
3000,4000,1,3,1,3003,3,1,3003
3000,4000,1,3,1,3200,3,1,3200
3000,4000,1,3,1,3000,3,1,3003
3000,4000,1,3,1,3000,3,1,3200
3000,4000,1,3,1,3003,3,1,3000
3000,4000,1,3,1,3003,3,1,3200
3000,4000,1,3,1,3200,3,1,3000
3000,4000,1,3,1,3200,3,1,3003
4000,5000,1,4,1,4000,4,1,4000
5000,6000,1,5,1,5000,5,1,5000
6000,7000,1,6,1,6000,6,1,6000
7000,8000,1,7,1,7000,7,1,7000
8000,9000,1,8,1,8000,8,1,8000
9000,10000,1,9,1,9000,9,1,9000
10000,11000,1,10,1,10000,10,1,10000
11000,12000,1,11,1,11000,11,1,11000
12000,13000,1,12,1,12000,12,1,12000
13000,14000,1,13,1,13000,13,1,13000
14000,15000,1,14,1,14000,14,1,14000
15000,16000,1,15,1,15000,15,1,15000
16000,17000,1,16,1,16000,16,1,16000
17000,18000,1,17,1,17000,17,1,17000
18000,19000,1,18,1,18000,18,1,18000
19000,20000,1,19,1,19000,19,1,19000
20000,21000,1,20,1,20000,20,1,20000
21000,22000,1,21,1,21000,21,1,21000